feature,n_folds_selected,mean_importance,mean_rank,rank_std,selection_freq,kind,gene
DNAH6 (1768)_damaging,0,0.0007011887140340801,293.8,87.09018314368157,0.0,damaging,DNAH6
COL5A2 (1290)_damaging,0,0.0009305530077909401,298.6,258.10617970130045,0.0,damaging,COL5A2
HMCN1 (83872)_damaging,0,0.0008371163722563199,299.0,193.78209411604573,0.0,damaging,HMCN1
KANSL1 (284058)_damaging,0,0.00099074889773125,299.5,223.7833773987693,0.0,damaging,KANSL1
RYR3 (6263)_damaging,0,0.00067829125454488,299.6,100.71891580035997,0.0,damaging,RYR3
ECT2L (345930)_damaging,0,0.00079211942496402,300.6,144.5572550929216,0.0,damaging,ECT2L
MMP3 (4314)_damaging,0,0.0008326471031772399,301.0,203.53378097996412,0.0,damaging,MMP3
BCL9L (283149)_damaging,0,0.00115084006866004,301.2,253.17523575579028,0.0,damaging,BCL9L
FXR2 (9513)_damaging,0,0.0006811106269660251,301.25,95.59768128289862,0.0,damaging,FXR2
TNRC6C (57690)_damaging,0,0.0008651336806003799,302.0,171.82694782833104,0.0,damaging,TNRC6C
STK11 (6794)_hotspot,0,0.0009784165807313933,302.8,335.24274787085255,0.0,hotspot,STK11
CAMSAP2 (23271)_damaging,0,0.00080886378214876,303.2,176.61596756805426,0.0,damaging,CAMSAP2
MCTP1 (79772)_damaging,0,0.000654948681907,304.0,82.02438661763951,0.0,damaging,MCTP1
MYH2 (4620)_damaging,0,0.0007532555322013201,307.2,158.90940815445762,0.0,damaging,MYH2
CCDST (112268240)_damaging,0,0.00116352207257026,308.0,356.764628291539,0.0,damaging,CCDST
CMYA5 (202333)_damaging,0,0.00075221316149038,310.0,184.5927950923329,0.0,damaging,CMYA5
PCDHB4 (56131)_damaging,0,0.0005976195857557,310.0,,0.0,damaging,PCDHB4
DOCK3 (1795)_damaging,0,0.00063725376687302,310.8,59.68416875520678,0.0,damaging,DOCK3
DOCK2 (1794)_damaging,0,0.0012002475928662398,311.0,272.96336750560505,0.0,damaging,DOCK2
GRIN2A (2903)_damaging,0,0.00066560249092882,313.4,152.48704863036727,0.0,damaging,GRIN2A
FAT3 (120114)_damaging,0,0.00065786671153816,314.0,133.44474511946882,0.0,damaging,FAT3
KIF27 (55582)_damaging,0,0.0008076464424963501,314.25,221.71810180196533,0.0,damaging,KIF27
SCN2A (6326)_damaging,0,0.0006093760776730601,316.0,93.70432220554183,0.0,damaging,SCN2A
ARID4B (51742)_damaging,0,0.0007592187490134,318.0,165.3148511174964,0.0,damaging,ARID4B
CEP126 (57562)_damaging,0,0.00068519868239126,318.0,141.66156853571823,0.0,damaging,CEP126
NSD2 (7468)_damaging,0,0.00075435019135338,319.8,196.54821291479604,0.0,damaging,NSD2
CCDC88A (55704)_damaging,0,0.00088756818652148,322.0,246.5725045498788,0.0,damaging,CCDC88A
HSPG2 (3339)_damaging,0,0.0008550688085941199,322.2,192.66603229422668,0.0,damaging,HSPG2
BCL9 (607)_damaging,0,0.0006629686878519799,322.6,183.2738388314055,0.0,damaging,BCL9
