gene,sd,has_self_expr,r_mean,r_lineage,r_self,r_ridge,gain_over_lineage,gain_over_self
MTHFD1 (4522),0.35490357875823975,True,-0.03110719747225149,0.48750009320909604,0.010291117114835439,0.5813162251434643,0.09381613193436822,0.5710251080286288
NMNAT1 (64802),0.4612719416618347,True,-0.049388389807490524,0.5406025626749698,0.04103753862327582,0.5806024803588539,0.03999991768388411,0.539564941735578
DLST (1743),0.27865421772003174,True,-0.04112921754431374,0.49265259673696765,-0.049670064959688585,0.580594728285462,0.08794213154849434,0.6302647932451506
ITGB1 (3688),0.38274601101875305,True,-0.046772524479638984,0.4097669383858001,0.07354108889185296,0.5804970019341997,0.17073006354839965,0.5069559130423468
YAP1 (10413),0.37231922149658203,True,-0.027893836063007414,0.31425898031532823,0.34236689882969507,0.5796922958226817,0.26543331550735344,0.2373253969929866
EGFR (1956),0.3595558702945709,True,-0.05893876404635726,0.43722600359246916,0.3355188940089261,0.578240833136523,0.1410148295440538,0.24272193912759688
FLI1 (2313),0.250484436750412,True,-0.04364350836218239,0.39041078385006267,0.29382967273136706,0.5774809904063942,0.18707020655633155,0.28365131767502716
CFLAR (8837),0.642174482345581,True,-0.08520342684798124,0.38383633492384645,0.43501137849343147,0.5766810482532911,0.1928447133294447,0.14166966975985967
TP53BP1 (7158),0.250408798456192,True,-0.0848090701647995,0.3890668103505683,-0.06408657258912802,0.5749362322403043,0.18586942188973604,0.6390228048294323
CAD (790),0.4092353880405426,True,-0.035467277386498366,0.46071568086005305,0.06602478476292904,0.572249997359661,0.11153431649960793,0.5062252125967319
DDX3X (1654),0.5108829140663147,True,-0.07773513946631952,0.3497000476418597,0.08018069979919736,0.5702766250706048,0.22057657742874515,0.4900959252714075
DHODH (1723),0.3498402535915375,True,-0.04252994831300142,0.47037796903910417,0.16012846643517928,0.5692028966468016,0.0988249276076974,0.40907443021162226
STXBP3 (6814),0.3210242986679077,True,-0.03805578604208605,0.30286704327520936,0.05814704371593515,0.5677535006943515,0.26488645741914213,0.5096064569784163
UMPS (7372),0.5343040227890015,True,-0.04376054512051709,0.4823093470333861,0.02196926325049669,0.5662614508827022,0.08395210384931606,0.5442921876322055
CDIN1 (84529),0.3036854863166809,True,-0.024072977064880045,0.36714685813411957,0.13272876462101713,0.5652800562433464,0.19813319810922686,0.4325512916223293
ITGB5 (3693),0.386275053024292,True,-0.055268757940997455,0.36503077423738606,0.37815835127589614,0.5643353645547995,0.19930459031741343,0.18617701327890335
PPCDC (60490),0.3360823690891266,True,-0.03869468380961999,0.5256385578182722,0.15756986950500687,0.562856866097825,0.03721830827955286,0.4052869965928182
GATA3 (2625),0.27245429158210754,True,-0.0776804947088235,0.38884322546916905,0.4781159518314994,0.5626360691066298,0.17379284363746073,0.08452011727513037
RPP25L (138716),0.42785656452178955,True,-0.04444807649115438,0.44604505037943853,-0.01076291222316757,0.5608880050696246,0.11484295469018602,0.5716509172927922
ADSS2 (159),0.36460965871810913,True,-0.035505683570611964,0.4777508993963211,0.03459590441798887,0.5594915275663698,0.08174062817004868,0.5248956231483809
ZFP36L1 (677),0.3729429543018341,True,-0.03532187875677204,0.3148078744606949,0.35785036614529536,0.5561858107293753,0.24137793626868043,0.19833544458407998
SOX9 (6662),0.30704450607299805,True,-0.054567186472451366,0.3695746204397936,0.31906993183924376,0.556113689872684,0.18653906943289034,0.2370437580334402
PRKAR1A (5573),0.2930431067943573,True,-0.0551050012843536,0.31919264979750295,0.03571076789417485,0.5546252947390083,0.2354326449415054,0.5189145268448335
MED24 (9862),0.4058339595794678,True,-0.022852078786718334,0.4205683942552747,0.012893825760296318,0.5539506596341297,0.133382265378855,0.5410568338738334
MED12 (9968),0.4843175411224365,True,-0.020325372647664153,0.3767762944128975,-0.04190683894680271,0.5538909933516196,0.17711469893872211,0.5957978322984223
STK11 (6794),0.3728233575820923,True,-0.042366955829198645,0.3618124343887252,0.17681323485207887,0.5511673882848123,0.18935495389608709,0.37435415343273337
FGFR1 (2260),0.35843387246131897,True,-0.02587760597215101,0.36938295321535564,0.3649345377894329,0.5501052671438934,0.18072231392853777,0.1851707293544605
EZH2 (2146),0.2611955404281616,True,-0.05258301555732659,0.36930327535713076,0.16862711891020785,0.5488904681402311,0.17958719278310037,0.38026334923002325
MED23 (9439),0.40126198530197144,True,-0.0324019299907423,0.3748468826951901,-0.01623728053784978,0.5488766213157843,0.17402973862059418,0.5651139018536341
PGM3 (5238),0.33828675746917725,True,-0.047532893178860544,0.38666292462886237,0.29080416958449196,0.5474692213807631,0.16080629675190078,0.2566650517962712
PPM1D (8493),0.31087180972099304,True,-0.053756832551901744,0.282707733636002,0.3066336472080532,0.5466326720896605,0.2639249384536585,0.2399990248816073
UFM1 (51569),0.426481157541275,True,-0.04524187742705532,0.21465820576607073,-0.012531747826901975,0.5442510768840947,0.32959287111802393,0.5567828247109967
MED1 (5469),0.5365738868713379,True,-0.028341286315583344,0.21804589077772255,-0.08196039511748186,0.5431790218010122,0.32513313102328967,0.6251394169184941
GFPT1 (2673),0.36714568734169006,True,-0.04753547559151973,0.4189607619289413,0.034552459809654275,0.5423711918483934,0.12341042991945211,0.5078187320387392
