roc_auc,pr_auc,balanced_accuracy,sensitivity,specificity,f1,brier,n_test,positive_rate,threshold,fold,panel_size,target,model
0.63863901539388,0.6212336145131934,0.6165644171779141,0.6441717791411042,0.588957055214724,0.6268656716417911,0.2385322713020083,326,0.5,0.479,2,5,cin,logistic_l1
0.6811697843351274,0.6735646170605962,0.6134969325153374,0.6932515337423313,0.5337423312883436,0.6420454545454546,0.2262557489230756,326,0.5,0.458,2,10,cin,logistic_l1
0.6874553050547632,0.6708867813663943,0.6380368098159509,0.6993865030674846,0.5766871165644172,0.6589595375722543,0.22614754898313028,326,0.5,0.472,2,20,cin,logistic_l1
0.6958485452971508,0.6833549709468842,0.6288343558282208,0.6932515337423313,0.5644171779141104,0.6512968299711815,0.22268689368132114,326,0.5,0.474,2,30,cin,logistic_l1
0.7319056042756596,0.7068111345474162,0.6809815950920246,0.803680981595092,0.558282208588957,0.7158469945355191,0.2115786555827614,326,0.5,0.461,3,all,cin,logistic_l1
0.6771048966841055,0.6595520833337151,0.6349693251533742,0.6993865030674846,0.5705521472392638,0.6570605187319885,0.22707845504065466,326,0.5,0.461,3,5,cin,logistic_l1
0.7016071361360985,0.672014804342854,0.6349693251533742,0.6687116564417178,0.6012269938650306,0.6468842729970327,0.2206868616648067,326,0.5,0.507,3,10,cin,logistic_l1
0.7182807030750124,0.6999251862041342,0.6625766871165644,0.7239263803680982,0.6012269938650306,0.6820809248554913,0.21402549100517085,326,0.5,0.498,3,20,cin,logistic_l1
0.7328841883397945,0.6949198494744162,0.665644171779141,0.7116564417177914,0.6196319018404908,0.6803519061583577,0.2095920155068863,326,0.5,0.493,3,30,cin,logistic_l1
0.7010689551339957,0.6563337951894299,0.6591388136103583,0.7195121951219512,0.5987654320987654,0.6801152737752162,0.21880289079213666,326,0.5030674846625767,0.502,4,all,cin,logistic_l1
0.6670054200542006,0.6503440575082511,0.6376844323998796,0.6951219512195121,0.5802469135802469,0.6589595375722543,0.23031031953479525,326,0.5030674846625767,0.47,4,5,cin,logistic_l1
0.6626769045468233,0.6234505595067017,0.6310975609756098,0.7621951219512195,0.5,0.6756756756756757,0.231456164368941,326,0.5030674846625767,0.469,4,10,cin,logistic_l1
0.6710328214393255,0.6234434752351283,0.6373080397470641,0.7560975609756098,0.5185185185185185,0.6775956284153005,0.2286433355743524,326,0.5030674846625767,0.49,4,20,cin,logistic_l1
0.6977566997892201,0.6504671021190948,0.6593270099367661,0.6890243902439024,0.6296296296296297,0.6706231454005934,0.22093703999266293,326,0.5030674846625767,0.533,4,30,cin,logistic_l1
0.7372811611551698,0.7484847393774388,0.6851713302409097,0.7361963190184049,0.6341463414634146,0.6997084548104956,0.20868204913214594,327,0.4984709480122324,0.469,0,all,loh,logistic_l1
0.6832635044141853,0.6745001122715824,0.6484363309890768,0.6871165644171779,0.6097560975609756,0.6607669616519174,0.2252048458794953,327,0.4984709480122324,0.463,0,5,loh,logistic_l1
0.7289016908573993,0.7315912008551178,0.6819542121801586,0.6809815950920245,0.6829268292682927,0.6809815950920245,0.21056601333046657,327,0.4984709480122324,0.491,0,10,loh,logistic_l1
0.7418823881490348,0.7552968589785498,0.6571524764327398,0.5460122699386503,0.7682926829268293,0.6137931034482759,0.20621394314728494,327,0.4984709480122324,0.538,0,20,loh,logistic_l1
0.7424809217417327,0.752047350689315,0.6851713302409097,0.7361963190184049,0.6341463414634146,0.6997084548104956,0.20579413784581482,327,0.4984709480122324,0.46,0,30,loh,logistic_l1
0.669577326959991,0.648169521962389,0.6441717791411044,0.7730061349693251,0.5153374233128835,0.6847826086956522,0.2284180255007681,326,0.5,0.45,1,all,loh,logistic_l1
0.6019232940645113,0.5853290898131742,0.558282208588957,0.5828220858895705,0.5337423312883436,0.5688622754491018,0.24489984786032706,326,0.5,0.492,1,5,loh,logistic_l1
0.6534683277503858,0.6347298483219865,0.6134969325153374,0.6073619631901841,0.6196319018404908,0.6111111111111112,0.23345345472035883,326,0.5,0.518,1,10,loh,logistic_l1
0.6518499002597011,0.6358480136923454,0.6257668711656441,0.6441717791411042,0.6073619631901841,0.6325301204819277,0.23850324040149867,326,0.5,0.513,1,20,loh,logistic_l1
0.6587752644058866,0.640996799719252,0.6411042944785277,0.7423312883435583,0.5398773006134969,0.6740947075208914,0.2375485898989084,326,0.5,0.44,1,30,loh,logistic_l1
0.7234370883360306,0.7101777055945724,0.6503067484662577,0.6748466257668712,0.6257668711656442,0.6586826347305389,0.21299540388583219,326,0.5,0.494,2,all,loh,logistic_l1
0.6995746923105876,0.6650760467124419,0.6595092024539877,0.7116564417177914,0.6073619631901841,0.6763848396501457,0.2217239416817586,326,0.5,0.481,2,5,loh,logistic_l1
0.7123715608415824,0.7068989329249107,0.6411042944785277,0.7423312883435583,0.5398773006134969,0.6740947075208914,0.21618552821100176,326,0.5,0.451,2,10,loh,logistic_l1
0.7128608528736498,0.704138247367219,0.6257668711656441,0.6809815950920245,0.5705521472392638,0.6453488372093024,0.21478070394508164,326,0.5,0.48,2,20,loh,logistic_l1
0.722609055666378,0.7099522099257248,0.647239263803681,0.7300613496932515,0.5644171779141104,0.6742209631728046,0.21204433735701195,326,0.5,0.465,2,30,loh,logistic_l1
